"Source","Target","NumEscroete"
"LE HUGE","MARGOT BOFFLINE","III1"
"SIMON MALET","MARGOT BOFFLINE","III1"
"SAINT NICHOLAÏ","RENIER MALET","III1"
"LANVIN DE SAINT VENANT","RENIER MALET","III1"
"EVRART L'ENFANT","ANDRIU LE BARBETEUR","III1"
"JEHAN MAUVISET","ANDRIU LE BARBETEUR","III1"
"JEHAN MAUVISET","HEUDIART DE GAVERIELE","III1"
"JEHAN BOINE BROKE","HEUDIART DE GAVERIELE","III1"
"BERNART DE GOY","WATIER BOINE BROKE","III1"
"JEHAN BOINE BROKE","JAKEMON DE FRESAING","III1"
"ELYSSENT LE CARDONIERE","JAKEMON DE FRESAING","III1"
"JAKEMON DE SAINT VENANT","JAKEMON DE FRESAING","III1"
"SAINT NICHOLAÏ","EVRART LE CARDONNIER","III1"
"ROBERT D'ESTREES","EVRART LE CARDONNIER","III1"
"EVRART DE SAINT VENANT","BAUDE DE SAINT VENANT","III1"
"NICHOLON DE LOBERGHES","JAKEMON BELIN","III1"
"MGR WATIER","BERNART DE GOY","III1"
"SAINT JAKEME","BERNART DE GOY","III1"
"MAHIU DE TAUVOIE","BERNART DE GOY","III1"
"JAKEMON BELIN","EVRART DE SAINT VENANT","III1"
"BERNART DE GOY","ALIXANDRE CAVETE","III1"
"JULIANE DE FONCES","ALIXANDRE CAVETE","III1"
"CRESTIEN TAILLE BRESIL","EVRART DE SAINT VENANT","III1"
"AALIS LE PETITE","EVRART DE SAINT VENANT","III1"
"PIERON DE LE CLAVIERE","GUITON BERNART","III1"
"JEHAN LOGIER","JEHAN MAUVISET","III1"
"JEHAN BOINE BROKE","JEHAN MAUVISET","III1"
"MARIEN LE BLANKISSCERESSE","SAINTAIN D'ESTREES","III1"
"MARGOT CAUVETE","SAINTAIN D'ESTREES","III1"
"HIELOTAIN DE WARENGHIEN","ROBIERT BOINEBROKE","III1"
"ESTIEVENON LE JOUTIER","ROBIERT BOINEBROKE","III1"
"ROBIERT BOINEBROKE","GUITON BERNART","III1"
"JAKEMON LE BRUN","GUITON BERNART","III1"
"JAKEMON LE CHAVETIER","JEHAN LE PATINIER","III1"
"PIERON BOINE BROKE","JEHAN LE PATINIER","III1"
"PIERON BOINE BROKE","LAMBIERT DE GOY","III1"
"SAINT VENANT","LAMBIERT DE GOY","III1"
"LAMBIERT DE GOY","EVRART DE SAINT VENANT","III1"
"WILLIAUME DE SAINT AMANT","EVRART DE SAINT VENANT","III1"
"HUON LE POVRE","TASSART LE BEGHIN","III1"
"TASSART D'ALLUES","TASSART LE BEGHIN","III1"
"JAKEMON DE VREGELAI","ALOUL DE LAMBRES","III1"
"ALOUL DE LAMBRES","MARIEN LE BRUNE","III1"
"MARIEN LE BRUNE","HUON LE BLANKISSEUR","III1"
"NICHOLON DE PESKENCORT","HUON LE BLANKISSEUR","III1"
"PIERON LE PINIER","HENRI D'ORCHIES","III1"
"WILLIAUME LENGLÉS","HENRI D'ORCHIES","III1"
"WILLART DE BRUILLE","WILLIAUME LENGLÉS","III1"
"RAINGHIER PIET","WILLIAUME LENGLÉS","III1"
"SOHIER DOU MAISIEL","WATIER GRAINNOURI","IV"
"MARIEN DE LOBERGHES","JEHAN LOEDON","IV"
"VIOTE BOINE VIE","JEHAN LOEDON","IV"
"VIOTE BOINE VIE","GILLION PORTE ESTEULE","IV"
"JAKEMON BOINE VIE","GILLION PORTE ESTEULE","IV"
"MIKIEL CHARLE","HENNIN DE GOY","IV"
"RAINGHIER DE KIERI","HENNIN DE GOY","IV"
"MARIEN LE PREUDEFEME","JAKEMON DOU MARÉS","IV"
"JAKEMON BOINE VIE","JAKEMON DOU MARÉS","IV"
"FOUKIER LEUREUS","JAKEMON DOU MARÉS","IV"
"HENRI POURCELET","PIERON BOINE VIE","IV"
"GOSSART POURCIEL","PIERON BOINE VIE","IV"
"JEHAN DE FLOREBAIS","ROBIERT D'ASTICES","IV"
"ALIXANDRES MASENGHE","ROBIERT D'ASTICES","IV"
"ROBIERT D'ASTICES","JEHAN LE FEVRE","IV"
"SARAIN WENNINE","JEHAN LE FEVRE","IV"
"ALIXANDRES MASENGHE","JEHAN LE FEVRE","IV"
"SARAIN WENNINE","RENIER MALET","IV"
"JEHAN LE MONNIIER","RENIER MALET","IV"
"THUMAS DE BOULENOIS","JAKEMON LOUVET","IV"
"JAKEMON LOUVET","JEHAN LE MIGNOT","IV"
"ERNOUL BOINE","WISTASSE LE BARBETEUR","IV"
"JAKEMON LE GANTOIS","WISTASSE LE BARBETEUR","IV"
"MEHAUT LE MERCHIERE","BAUDUIN DE DOUAY","IV"
"WILLIAUME SALEMON","MARIEN LE LONGHE","IV"
"AGNIÉS HUELINE","MASSART DE MONS","IV"
"MARIEN DE VALENCHIENES","MASSART DE MONS","IV"
"GRART DE BERSEES","GILLOTAIN DE BAPAUMES","IV"
"SAINT PIERE","THIEBAUT DE HENNIN","IV"
"MARIEN DOUCE MINE","THIEBAUT DE HENNIN","IV"
"SAINT VAST","PIERON DE ROGHEGNIES","IV"
"RAOUL D'ASTRIKES","PIERON DE ROGHEGNIES","IV"
"RAOUL D'ASTRIKES","PIERON DE HASNON","IV"
"EREMBOURC BUTOR","PIERON DE HASNON","IV"
"PIERON DE HASNON","ukn13","IV"
"JEHENNAIN DE FLORENCE","ukn13","IV"
"PIERON LE FRANKE","SANDRART DE COUSTICES","V1"
"SANDRART DE COUSTICES","NICHOLON TRUEVE ARGENT","V1"
"PIERON DE HASNON","NICHOLON TRUEVE ARGENT","V1"
"GILLION DE CARVIN","COLART DE COUSTICES","V1"
"JEHAN PARENT","COLART DE COUSTICES","V1"
"WERIN DE MAUCHICORT","COLART DE MONTEGNI","V1"
"JEHAN MIENUIT","COLART DE MONTEGNI","V1"
"NICHOLON DE MONTEGNI","JEHAN MIENUIT","V1"
"JAKEMON DE LENS","JEHAN MIENUIT","V1"
"JAKEMON LE FLAMENC","MONNE DE MONS","V1"
"GILLION LE TIEULIER","MONNE DE MONS","V1"
"HAUWIT LE MERCHIERE","JEHAN LE BIERTOUL","V1"
"JEHAN LE BIERTOUL","JAKEMON CAVETE","V1"
"MARGOT ROUSSIELE","JAKEMON CAVETE","V1"
"SAINT PIERE","COLART LE MARTIN","V1"
"SAINT PIERE","THUMAS LE WARETEUR","V1"
"JEHAN LE POTIER","THUMAS LE WARETEUR","V1"
"JEHAN LE POTIER","MARIEN DE LE POTERIE","V1"
"RICHART DOU MARKIET","MARIEN DE LE POTERIE","V1"
"THIEBAUT DE HENNIN","LE MONNE","V1"
"ESTIEVENON LE TONDEUR","GUIFROI LE CARETON","V1"
"JEHAN DE FRANCHE","WILLART DE BAUVIN","V1"
"JAKEMON DE PASKENDALE","WILLART DE BAUVIN","V1"
"MONNART BOINE BROKE","SYMON DES AUBIAUS","V1"
"JEHAN PLANÇON","SYMON DES AUBIAUS","V1"
"JEHAN PLANÇON","GRART DE MARCHIENES","V1"
"GRART DE MARCHIENES","JEHAN LE MUELEKINIER","V1"
"ENMELOT DE COUSTICES","JEHAN LE MUELEKINIER","V1"
"HENRI BIEL","BAUDE DE SAINT VENANT","V1"
"AMANT DE LANDAST","BAUDE DE SAINT VENANT","V1"
"AMANT DE LANDAST","RICHART POURCIEL","V1"
"RICHART POURCIEL","JEHAN DE WARLERS","V1"
"THUMAS ESPINEKOKE","JEHAN DE WARLERS","V1"
"RICHART POURCIEL","COLART LE BOURGOIS","V1"
"BAUDE DE HENNIN","COLART LE BOURGOIS","V1"
"JEHAN LE NOIR","ROBIERT LE CANGEUR","V1"
"KATELINE DE PASKENDALE","ROBIERT LE CANGEUR","V1"
"JEHAN LENGHERREN","JEHAN LE LINNIER","V1"
"MARIEN DE FIERIN","JEHAN LE LINNIER","V1"
"JAKEMON DE SAUDEMONT","JEHAN LOGIER","V1"
"JEHAN DE LE BASSEE","JEHAN LOGIER","V1"
"WILLIAUME DE WARLAING","JAKEMON DE WARLAINGG","V1"
"JEHAN RAINNUIT","JAKEMON DE WARLAINGG","V1"
"JAKEMON DE WARLAING","JEHAN RAINNUIT","V1"
"ROBIERT D'ANEULIN","JEHAN RAINNUIT","V1"
"MGR MIKIEL","BAUDUIN DE ROUCORT","V1"
"BAUDUIN DE ROUCORT","MGR HUON D'ARRAS","V1"
"MGR HUON D'ARRAS","THUMAS D'ESPINOIT","V1"
"SAINTAIN DE LE COUPIELE","THUMAS D'ESPINOIT","V1"
"HENRI LE MESSAGIER","SYMON LE GRANT","V1"
"SYMON LE GRANT","WILLIAUME DE PASKENDALE","V1"
"PHELIPPON DOU CELIER","WILLIAUME DE PASKENDALE","V1"
"THUMAS LAIDURE","THIEBAUT DE HENNIN","V1"
"THIEBAUT DE HENNIN","MARIEN DE SAINT NICHOLAÏ","V1"
"JEHAN DE BARGHES","MARIEN DE SAINT NICHOLAÏ","V1"
"JAKEMON DE BIEKERIEL","MARIEN TROP","V1"
"WILLART DE BAUVIN","MARIEN TROP","V1"
"WILLART DE BAUVIN","JEHAN DE BAUVIN","V1"
"WILLIAUME CAPELAIN","JEHAN DE BAUVIN","V1"
"MIKIEL MAKE BOURDE","ukn14","V1"
"WATIER CAPIELE","ukn14","V1"
"MARGOT PINTE","OBIERT DE PIERONNE","V1"
"MARIEN DIDIERE","OBIERT DE PIERONNE","V1"
"JEHAN LACOTIN","MGR GRART D'IWIUR","V1"
"JEHAN DE CAMBRAI","THIEBAUT DE HENNIN","V1"
"THIEBAUT DE HENNIN","JEHAN LE ROI","V1"
"SYMON DE MONTEGNI","JEHAN LE ROI","V1"
"JEHAN LE GRANT","MIKIEL D'OBERCH","V1"
"MIKIEL D'OBERCH","JEHAN DE MONS","V1"
"JEHAN DE MONS","ROGIER D'ORCHIES","V1"
"ROGIER D'ORCHIES","JEHAN DES AUBIAUS","V1"
"JEHAN DES AUBIAUS","JEHAN FILLETE","V1"
"JEHAN FILLETE","ERNAUT DE LE HAIE","V1"
"LE MONNE","ERNAUT DE LE HAIE","V1"
"ROSE DE DOURGES","PIERON DE WAREMONS","V1"
"CRESTIENNE VRIENT","PIERON DE WAREMONS","V1"
"LE MONNE","SYMON BOFFLIN","V1"
"SYMON BOFFLIN","GILLION CAULET","V1"
"GILLION CAULET","AMANT DE LANDAST","V1"
"PIERON DE HASNON","AMANT DE LANDAST","V1"
"JEHAN DE LES","RICHART POURCIEL","V1"
"WATIER D'ARRAS","PIERON LE CARPENTIER","V1"
"WATIER LE LAINIER","PIERON LE CARPENTIER","V1"
"JEHAN FLORIT","ALIS LE MAÇONE","V1"
"MIKIEL BAFFLIN","LE MONNE","V1"
"WERIN MULET","LE MONNE","V1"
"SAINT PIERE","LE MONNE","V1"
"JEHAN PAINMOULLIET","MARIEN DE VALENCHIENES","V1"
"GILLION PORTE ESTEULE","MARIEN DE VALENCHIENES","V1"
"NICHOLON DE GAVERIELE","WAUBIERT LE KIEVRE","V1"
"WAUBIERT LE KIEVRE","THUMAS DOU TONNELET","V1"
"MIKIEL DE RIULAI","THUMAS DOU TONNELET","V1"
"THIEBAUT DE BREBIERE","MIKIEL LE CANDELIER","V1"
"ENGHERRAN PILATE","COLART LE CRETINIER","V1"
"YSABIEL DE LE VILE","COLART LE CRETINIER","V1"
"JAKEMON D'ONGNIES","JEHAN PINÇON","V1"
"RICHART DOU MARKIET","MARIEN DE ROUCORT","V1"
"JEHAN ADELUYE","MARIEN DE ROUCORT","V1"
"CRESTELOT LE CARETON","GRART DE MELANS","V1"
"BOURGHAIN LE BLANKE","GRART DE MELANS","V1"
"MARGOT DE SAINT OMER","SOHIER DE CASTRES","V1"
"JEHAN LE CARPENTIER","SOHIER DE CASTRES","V1"
"GOBIERT LE MIGNOT","MABILIEN DE CASSIEL","V1"
"WILLIAUME LE BLAIER","MABILIEN DE CASSIEL","V1"
"WIOT DE COURIERES","BERNART DOU LYONCIEL","VI1"
"JAKEMON D'AIRE","BERNART DOU LYONCIEL","VI1"
"WIOT DE COURIERES","JEHAN PIKETE","VI1"
"EUBELET LE DOIEN","JEHAN PIKETE","VI1"
"LE MONNE","WATIER PIET","VI1"
"JEHAN LE BARBETEUR","WILLIAUME LE FOURNIER","VI1"
"MGR JAKEMON LE ROI","WILLIAUME LE FOURNIER","VI1"
"RENIER D'ONGNIES","ADAM LE FOURNIER","VI1"
"WATIER ESPINEKOKE","ADAM LE FOURNIER","VI1"
"JEHAN LE KIEN","SAINT SANSON","VI1"
"SAINT SANSON","MARGRITAIN LE CATE","VI1"
"EVAIN DE PUILLE","MARGRITAIN LE CATE","VI1"
"NICHOLON DE PEULE","JAKEMON BULETIN","VI1"
